,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
791,upavistha konasana,Core muscles in the lower abdomen are strengthened.,"By regular practicing of Wide-Angle Seated Forward Bend will open the hands and legs stiffness, which is the only disease of old age.",core muscles lower abdomen strengthened,regular practicing wideangle seated forward bend open hands legs stiffness disease old age,26
792,upavistha konasana,It strengthens the spine.,The continuous apprehension of this yoga stimulates the body parts and also stimulates and tone your abdominal organs.,strengthens spine,continuous apprehension yoga stimulates body parts also stimulates tone abdominal organs,26
793,phalakasana,"The muscles around the shoulders, upper arms, forearms, and the wrists are toned and strengthened.",It helps in improving the general stamina of the body and therefore relieves stress and physical pain in the body.,muscles around shoulders upper arms forearms wrists toned strengthened,helps improving general stamina body therefore relieves stress physical pain body,41
794,ardha kapotasana,A great pose for toning the hips and sides of the back,"the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely.",great pose toning hips sides back,gentle stretch back taking spine backbend improves flexibility slowly surely,0
795,paschimottanasana,The stretching and lengthening of the spine in this pose can help to improve posture and reduce back pain.,It removes excess weightin this area and helps alleviate disorders of the uro-genitalsystem.,stretching lengthening spine pose help improve posture reduce back pain,removes excess weightin area helps alleviate disorders urogenitalsystem,40
796,utkata konasana,"Goddess Pose (Utkata Konasana) stimulates the pelvis, encouraging flow of prana for better functioning of the reproductive organs.",It widens the uterus before pregnancy and helps during pregnancy.,goddess pose utkata konasana stimulates pelvis encouraging flow prana better functioning reproductive organs,widens uterus pregnancy helps pregnancy,25
797,supta baddha konasana,"Opens up the hips and groin: The pose can help to stretch and open up the hips and groin area, which can become tight from sitting for long periods.","can help to relieve tension in the lower back, promoting relaxation and reducing pain.",opens hips groin pose help stretch open hips groin area become tight sitting long periods,help relieve tension lower back promoting relaxation reducing pain,32
798,supta vajrasana,"It tones the spinal nerves, makes the back flexible and realigns rounded shoulders. ",The nerves in the neck and the thyroid gland are particularly influenced.,tones spinal nerves makes back flexible realigns rounded shoulders,nerves neck thyroid gland particularly influenced,29
799,rajakapotasana,The pelvic muscles are stretched and toned giving room for improved reproductive system.,The overall toning of the internal organs takes place as the muscles are put to expand at this pose.,pelvic muscles stretched toned giving room improved reproductive system,overall toning internal organs takes place muscles put expand pose,21
800,rajakapotasana,The sagging shoulders can be corrected and thus make it look strong and firm.,Urninary disorders are treated.,sagging shoulders corrected thus make look strong firm,urninary disorders treated,21
801,trikonasana,Enhances respiratory function: The pose can help to enhance respiratory function by promoting deep breathing and expanding the chest.,It also strengthens the pelvic area and tones the reproductive organs. Regular practice will help to reduce waistline fat.,enhances respiratory function pose help enhance respiratory function promoting deep breathing expanding chest,also strengthens pelvic area tones reproductive organs regular practice help reduce waistline fat,27
802,ardha kapotasana,"The stretch at the entire abdominal muscles encourages a proper functioning of the internal organs, thus improving digestion too.",A great pose for toning the hips and sides of the back,stretch entire abdominal muscles encourages proper functioning internal organs thus improving digestion,great pose toning hips sides back,0
803,bananasana,"the muscles at the shoulders, arms, hamstrings, gluteus, calves, chest, core (abdomen), and lower back are strengthened. ","A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the IT band (the side thigh going down to the knee).",muscles shoulders arms hamstrings gluteus calves chest core abdomen lower back strengthened,mild pressure also knees abdomen expansion oblique muscles chest rib cage band side thigh going knee,19
804,setu bandhasana,The diaphragm is elongated and the breath is steady.,"Strengthens the legs, glutes, and core: Setu Bandhasana engages the leg and glute muscles, as well as the core, helping to strengthen and tone these areas.",diaphragm elongated breath steady,strengthens legs glutes core setu bandhasana engages leg glute muscles well core helping strengthen tone areas,18
805,tadasana,helps to improve posture by aligning the spine and promoting proper body alignment.,"entire spine is stretched and loosened, helping to clear up congestion of the spinal nerves at the points where they emerge from the spinal column.",helps improve posture aligning spine promoting proper body alignment,entire spine stretched loosened helping clear congestion spinal nerves points emerge spinal column,8
806,pavanamuktasana,helps diabetes.,"can help to relieve bloating, gas, and other digestive discomforts by stimulating the digestive organs and releasing trapped gas.",helps diabetes,help relieve bloating gas digestive discomforts stimulating digestive organs releasing trapped gas,20
807,sarvangasana,"Relieves stress and anxiety: The focus required in this pose, along with the deep breathing, can help to calm the mind and reduce stress and anxiety.","By pressing the chest against the chin, this asana stimulates the thyroid gland.",relieves stress anxiety focus required pose along deep breathing help calm mind reduce stress anxiety,pressing chest chin asana stimulates thyroid gland,13
808,parighasana,"A wonderful practice which is a gentle heart opener, thus stimulating the Anahata Chakra (Heart Chakra), while ensuring balance in the first two chakras (Root and Sacral). The side bend helps to increase the prana moving from the heart towards the Third Eye Chakra, energizing the body. And at the time of releasing from the pose, there is downward flow of energy - apana vayu (removing the excess out) thus ensuring a balance in the energy - and ultimately balance in the first four chakras.","it stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. This helps promote lymphatic flow in the body, which contains antibodies.",wonderful practice gentle heart opener thus stimulating anahata chakra heart chakra ensuring balance first two chakras root sacral side bend helps increase prana moving heart towards third eye chakra energizing body time releasing pose downward flow energy apana vayu removing excess thus ensuring balance energy ultimately balance first four chakras,stimulates lymphatic system one moves arm overhead armpit houses lymph nodes play integral part bodys immunity helps promote lymphatic flow body contains antibodies,31
809,tadasana,Opens up the hips,can help to improve balance and stability by encouraging proper weight distribution through the feet.,opens hips,help improve balance stability encouraging proper weight distribution feet,8
810,vajrasana,Strengthens the back and leg muscles.,Improves Digestion,strengthens back leg muscles,improves digestion,12
811,supta vajrasana,helps diabetes.,can help to improve digestion and relieve constipation by massaging the abdominal organs.,helps diabetes,help improve digestion relieve constipation massaging abdominal organs,29
812,ardha kapotasana,"the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely.",Reproductive Systems improves with improved blood circulation,gentle stretch back taking spine backbend improves flexibility slowly surely,reproductive systems improves improved blood circulation,0
813,anjaneyasana,"This asymmetrical balancing pose stretches the arms, armpits, shoulders, neck, intercostal muscles, abdomen, psoas muscles, quadriceps, shin muscles, and pelvic muscles.","stimulates the digestive system. The deep abdominal stretch happening with the backbend stimulates the digestive system and helps in treating ailments like constipation, IBS (Irregular Bowel Syndrome), lack of appetite, and acidity.",asymmetrical balancing pose stretches arms armpits shoulders neck intercostal muscles abdomen psoas muscles quadriceps shin muscles pelvic muscles,stimulates digestive system deep abdominal stretch happening backbend stimulates digestive system helps treating ailments like constipation ibs irregular bowel syndrome lack appetite acidity,48
814,gomukhasana,"improves posture by increasing energy, awareness, and generally opening the chest area.",It alleviates cramp in the legs and makes the leg muscles supple.,improves posture increasing energy awareness generally opening chest area,alleviates cramp legs makes leg muscles supple,10
815,kurmasana,Activates the abdominal organs improving digestion,Reduces the stiffness around the lower back relieving back aches,activates abdominal organs improving digestion,reduces stiffness around lower back relieving back aches,23
816,kati chakrasana,good for relieving constipation,strengthens and improves the flexibility of the spine and waist.,good relieving constipation,strengthens improves flexibility spine waist,34
817,supta vajrasana,"The chest is stretched and expanded to full capacity, filling the lungs and bringing more oxygen into the system. It is beneficial for those suffering from asthma, bronchitis and other lung ailments.",can help to improve digestion and relieve constipation by massaging the abdominal organs.,chest stretched expanded full capacity filling lungs bringing oxygen system beneficial suffering asthma bronchitis lung ailments,help improve digestion relieve constipation massaging abdominal organs,29
818,naukasana,"stimulates the muscular, digestive, circulatory, nervous and hormonal systems, tones all the organs and removes lethargy. ",It is also useful for women preparing for childbearing and may be practised during the second trimester of pregnancy.,stimulates muscular digestive circulatory nervous hormonal systems tones organs removes lethargy,also useful women preparing childbearing may practised second trimester pregnancy,43
819,trikonasana,It improves digestion.,It also strengthens the pelvic area and tones the reproductive organs. Regular practice will help to reduce waistline fat.,improves digestion,also strengthens pelvic area tones reproductive organs regular practice help reduce waistline fat,27
820,shashankasana,This asana relaxes the mind and relieves depression.,"When practiced with ujjayi pranayama in the final position, it helps to eliminate anger and is very cooling for the brain.",asana relaxes mind relieves depression,practiced ujjayi pranayama final position helps eliminate anger cooling brain,3
821,matsyasana,can help to increase spinal flexibility and mobility.,This helps prevent and remove disorders of the reproductive system.,help increase spinal flexibility mobility,helps prevent remove disorders reproductive system,37
822,utkata konasana,Utkata Konasana helps to broaden the chest and correct postural defects.,The lengthening of the spine coupled with the strengthening of the knee and ankle joints supported with a stable hip enhances overall flexibility and improves agility.,utkata konasana helps broaden chest correct postural defects,lengthening spine coupled strengthening knee ankle joints supported stable hip enhances overall flexibility improves agility,25
823,phalakasana,it helps in remaining focused and improves concentration,As the entire body is stretched it improves the spine and gives a great looking posture to the body.,helps remaining focused improves concentration,entire body stretched improves spine gives great looking posture body,41
824,prasarita padottanasana,the nervous system is rejuvenated by this posture and the heart and lungs are electrified. People suffering from blood,"Since there is a lot stretching associated with this yoga exercise, the wide-legged forward bend yoga posture will successfully reduce lower back pain.",nervous system rejuvenated posture heart lungs electrified people suffering blood,since lot stretching associated yoga exercise widelegged forward bend yoga posture successfully reduce lower back pain,5
825,dhanurasana,"The pancreas and adrenal glands are toned, balancing their secretions.","improved functioning of the digestive, excretory and reproductive organs and helps to remove gastrointestinal disorders, dyspepsia, chronic constipation and sluggishness of the liver.",pancreas adrenal glands toned balancing secretions,improved functioning digestive excretory reproductive organs helps remove gastrointestinal disorders dyspepsia chronic constipation sluggishness liver,28
826,phalakasana,"The muscles around the shoulders, upper arms, forearms, and the wrists are toned and strengthened.","The muscles like the hamstrings, the quadriceps, calves too are put to work thus toning them and making them strong and flexible.",muscles around shoulders upper arms forearms wrists toned strengthened,muscles like hamstrings quadriceps calves put work thus toning making strong flexible,41
827,vajrasana,It is a preventative measure against hernia and also helps to relieve piles.,Increases Flexibility in Ankles: The ankles are bent so well giving room for greater flexibility right up to the tips of the toes.,preventative measure hernia also helps relieve piles,increases flexibility ankles ankles bent well giving room greater flexibility right tips toes,12
828,bananasana,"A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the IT band (the side thigh going down to the knee).","With the bending of the body in one direction the students can take the stretch and twist deeper, getting the best from the posture. ",mild pressure also knees abdomen expansion oblique muscles chest rib cage band side thigh going knee,bending body one direction students take stretch twist deeper getting best posture,19
829,ardha chakrasan,Ardha Chakrasana helps back and spine muscles,Alleviates diabetes.,ardha chakrasana helps back spine muscles,alleviates diabetes,46
830,setu bandhasana,helps build strength,"Strengthens the legs, glutes, and core: Setu Bandhasana engages the leg and glute muscles, as well as the core, helping to strengthen and tone these areas.",helps build strength,strengthens legs glutes core setu bandhasana engages leg glute muscles well core helping strengthen tone areas,18
831,virabhadrasana,"increases flexibility in the hips and strengthens and tones the legs, ankles, and feet",The expansion of the diaphragm improving the respiratory system helps with asthma patients.,increases flexibility hips strengthens tones legs ankles feet,expansion diaphragm improving respiratory system helps asthma patients,45
832,mandukasana,"can help to stimulate the digestive system and alleviate digestive issues such as constipation, bloating, and gas.","Cures Diabetes: The pressure on the abdominal muscles activates the pancreas, thus increasing the quantity of insulin production. And this can help in reducing or maintaining the sugar levels in the body.",help stimulate digestive system alleviate digestive issues constipation bloating gas,cures diabetes pressure abdominal muscles activates pancreas thus increasing quantity insulin production help reducing maintaining sugar levels body,16
833,purvottanasana,Purvottanasana improves the strength at the wrists going upwards to the entire arm including the shoulders.,Works well in improving the balance,purvottanasana improves strength wrists going upwards entire arm including shoulders,works well improving balance,17
834,mayurasana,This asana stimulates the metabolic processes which increase secretions from different glands.,"It strengthens the forearms, chest, and core muscles.",asana stimulates metabolic processes increase secretions different glands,strengthens forearms chest core muscles,42
835,mayurasana,"In particular, the toxins accumulated in the body are burnt, bringing the three doshas : vata, wind, kapha, phlegm, and pitta, bile, into balance and harmony.",Helps to improve eye sight and better concentration.,particular toxins accumulated body burnt bringing three doshas vata wind kapha phlegm pitta bile balance harmony,helps improve eye sight better concentration,42
836,virabhadrasana,"helps in building stability and stamina, and also helps to gain self-confidence.","Energizing, De-stressing, Relaxing",helps building stability stamina also helps gain selfconfidence,energizing destressing relaxing,45
837,mayurasana,"It stimulates the elimination of toxins from the blood, assisting the removal of skin conditions such as boils. ",Helps to improve eye sight and better concentration.,stimulates elimination toxins blood assisting removal skin conditions boils,helps improve eye sight better concentration,42
838,vajrasana,Helps in weight loss by improving metabolism.,It alleviates menstrual disorders.,helps weight loss improving metabolism,alleviates menstrual disorders,12
839,dhanurasana,"The pancreas and adrenal glands are toned, balancing their secretions.",It helps to correct hunching of the upper back.,pancreas adrenal glands toned balancing secretions,helps correct hunching upper back,28
840,sarvangasana,"It tones the legs, abdomen and reproductive organs, draining stagnant blood and fluid, and increasing circulation to these areas.","Circulation is increased in this area generally, revitalizing the ears, eyes and tonsils.",tones legs abdomen reproductive organs draining stagnant blood fluid increasing circulation areas,circulation increased area generally revitalizing ears eyes tonsils,13
841,utkata konasana,Utkata Konasana enhances the functioning of organs in the thorax and improves respiration.,Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.,utkata konasana enhances functioning organs thorax improves respiration,utkatasana tones core muscles tightening abdominal muscles holding pose creating tummy tuck bringing navel close spine tightens abdominal muscles bringing strength stimulating digestive system,25
842,tadasana,Develops strength in the ankles and arches of the feet,Reduces stress and anxiety,develops strength ankles arches feet,reduces stress anxiety,8
843,adho mukha svanasana,it enhances the functions of the Nervous System. Hence it is good for stress and mental health related ailments.,It advances the blood flow to the head.,enhances functions nervous system hence good stress mental health related ailments,advances blood flow head,7
844,ushtrasana,It is helpful for people suffering from asthma.,"The chest cavity is enhanced, and this results in cardiovascular fitness.",helpful people suffering asthma,chest cavity enhanced results cardiovascular fitness,6
845,tadasana,"helps to strengthen and tone the muscles in the legs, hips, and back.",can help to improve balance and stability by encouraging proper weight distribution through the feet.,helps strengthen tone muscles legs hips back,help improve balance stability encouraging proper weight distribution feet,8
846,ardha matsyendrasana,Ardha matysendrasana tones the kidneys and improves secretion of the adrenal glands.,It activates the pancreas and helps to manage diabetes.,ardha matysendrasana tones kidneys improves secretion adrenal glands,activates pancreas helps manage diabetes,4
847,sarvangasana,"Stimulates the thyroid gland: Sarvangasana can help to stimulate the thyroid gland, which is responsible for regulating metabolism.",Flexibility of the neck ertebrae is improved and the nerves passing through the neck to the brain are toned. Circulation is increased in this area,stimulates thyroid gland sarvangasana help stimulate thyroid gland responsible regulating metabolism,flexibility neck ertebrae improved nerves passing neck brain toned circulation increased area,13
848,kati chakrasana,helps diabetes.,good for relieving constipation,helps diabetes,good relieving constipation,34
849,upavistha konasana,"It also improves flexibility in the legs, shoulders, hands, neck, arms, spine and increases energy.",This pose detoxifies your kidneys,also improves flexibility legs shoulders hands neck arms spine increases energy,pose detoxifies kidneys,26
850,ardha katicakrasana,Reduces stress and anxiety. Helps to overcome depression.,Alleviates back pain and sciatica.,reduces stress anxiety helps overcome depression,alleviates back pain sciatica,33
851,vajrasana,Improves digestion and relieves constipation.,"It reduces the blood flow to the genitals and massages the nerve fibres which feed them, making it useful in dilated veins of the testicles and hydrocele in men.",improves digestion relieves constipation,reduces blood flow genitals massages nerve fibres feed making useful dilated veins testicles hydrocele men,12
852,vajrasana,Improves digestion and relieves constipation.,"It stimulates the vajra nadi, activates prana in sushumna and redirects sexual energy for spiritual purposes.",improves digestion relieves constipation,stimulates vajra nadi activates prana sushumna redirects sexual energy spiritual purposes,12
853,purvottanasana,Purvottanasana improves the strength at the wrists going upwards to the entire arm including the shoulders.,The weight of the body if balanced well on the shoulders and the wrists will not only make the pose easy but will improve the muscle strength around the shoulders without causing injury,purvottanasana improves strength wrists going upwards entire arm including shoulders,weight body balanced well shoulders wrists make pose easy improve muscle strength around shoulders without causing injury,17
854,sarvangasana,"Abdominal breathing is induced, improving the exchange of air in the body, relieving stress and massaging the abdominal organs.","releases the normal gravitational pressure from the anal muscles, relieving haemorrhoids.",abdominal breathing induced improving exchange air body relieving stress massaging abdominal organs,releases normal gravitational pressure anal muscles relieving haemorrhoids,13
855,vajrasana,The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.,"as the spine is elevated and away from the floor, the flow of blood is altered along with the nervous impulses in the pelvic region and pelvic muscles are strengthened.",folding knees thighs stretches muscles improves blood circulation improves flexibility,spine elevated away floor flow blood altered along nervous impulses pelvic region pelvic muscles strengthened,12
856,utkata konasana,"The position of the hips in this pose, take the weight of the upper body and with practice, the muscles around the hips, gain strength giving it a strong look. ","The neck stretch stimulates the thyroid glands, which balances the thyroxin levels (Hormone responsible for metabolism and health of the bones and joints).",position hips pose take weight upper body practice muscles around hips gain strength giving strong look,neck stretch stimulates thyroid glands balances thyroxin levels hormone responsible metabolism health bones joints,25
857,utkata konasana,"Utkata Konasana strengthens the hips, the lower back and the thigh muscles",Utkata Konasana helps to broaden the chest and correct postural defects.,utkata konasana strengthens hips lower back thigh muscles,utkata konasana helps broaden chest correct postural defects,25
858,upavistha konasana,Upavistha Konasana stretches the adductor muscles of the groin and also activates the joint muscles.,it also improves the digestive tract,upavistha konasana stretches adductor muscles groin also activates joint muscles,also improves digestive tract,26
859,anjaneyasana,It may help internal tone organs like the stomach and improves digestion.,"stimulates the digestive system. The deep abdominal stretch happening with the backbend stimulates the digestive system and helps in treating ailments like constipation, IBS (Irregular Bowel Syndrome), lack of appetite, and acidity.",may help internal tone organs like stomach improves digestion,stimulates digestive system deep abdominal stretch happening backbend stimulates digestive system helps treating ailments like constipation ibs irregular bowel syndrome lack appetite acidity,48
860,dhanurasana,"useful for freeing nervous energy in the cervical and thoracic area, generally improving respiration.","relieves neck pain,Strengthens back muscles,Helpful is stimulating reproductive organs,Improve the function of the pancreas.",useful freeing nervous energy cervical thoracic area generally improving respiration,relieves neck painstrengthens back muscleshelpful stimulating reproductive organsimprove function pancreas,28
861,mayurasana,"Better and improved circulation of blood when you release from the pose, while also stimulating the internal organs and eliminating the toxins.","Increases the metabolism in the body, and helps to keep stress and depression away.",better improved circulation blood release pose also stimulating internal organs eliminating toxins,increases metabolism body helps keep stress depression away,42
862,rajakapotasana,"the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs.",The sagging shoulders can be corrected and thus make it look strong and firm.,internal abdominal organs hence stimulated digestive juices secreted well giving room good digestion pancreas liver kidney massaged well thus improving functioning organs,sagging shoulders corrected thus make look strong firm,21
863,prasarita padottanasana,improves Awareness and Focus (Concentration),The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.,improves awareness focus concentration,prasarita padottanasana also harmonizes abdominal muscles also relieves headaches caused due excessive stress,5
864,ardha matsyendrasana,Helps in the agility of the spine. The poses and postures of this yoga elongate the spine and restores the natural alignment of the spine.,Promotes better sleep and improves sleeping patterns,helps agility spine poses postures yoga elongate spine restores natural alignment spine,promotes better sleep improves sleeping patterns,4
865,prasarita padottanasana,"can help to strengthen the leg muscles and core muscles, improving overall stability and balance.",The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.,help strengthen leg muscles core muscles improving overall stability balance,prasarita padottanasana also harmonizes abdominal muscles also relieves headaches caused due excessive stress,5
866,supta trivikramasana,helps to achieve stability and calmness.,"Due to stretch in all the parts of the body, there is never an accident in the body and the body remains flexible.",helps achieve stability calmness,due stretch parts body never accident body body remains flexible,39
867,sarvangasana,helps diabetes.,"Circulation is increased in this area generally, revitalizing the ears, eyes and tonsils.",helps diabetes,circulation increased area generally revitalizing ears eyes tonsils,13
868,parighasana,"This posture gives a good lateral stretch to the pelvic region and trunk. It massages the abdominal muscles and organs, helping to prevent accumulation of fat and sagging skin around the abdomen.",helps increase the immunity of the body in various ways.,posture gives good lateral stretch pelvic region trunk massages abdominal muscles organs helping prevent accumulation fat sagging skin around abdomen,helps increase immunity body various ways,31
869,ushtrasana,The expansion of the diaphragm is beneficial for respiration.,"It enhances circulation to the digestive tract, thus improving digestion, appetite, and excretion of food. An effective digestive system energizes the body.",expansion diaphragm beneficial respiration,enhances circulation digestive tract thus improving digestion appetite excretion food effective digestive system energizes body,6
870,virasana,Spine gets its maximum stretch,the flexibility of the foot around the ankles improves and any pain at the heels with long hours of standing brings great relaxation to the feet.,spine gets maximum stretch,flexibility foot around ankles improves pain heels long hours standing brings great relaxation feet,14
871,virabhadrasana,"helps in building stability and stamina, and also helps to gain self-confidence.","With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.",helps building stability stamina also helps gain selfconfidence,muscles activated including abdominal muscles digestive system reproductive system improve functions thus reducing indigestion problems related reproductive system,45
872,jathara parivartanasana,"Stretches and Strengthens the various muscles of the body like the shoulders and arms, hamstrings, gluteus maximus (buttocks), calves, chest, abdomen, and lower back muscles. ",can help in reducing the stiffness and tensions accumulated.,stretches strengthens various muscles body like shoulders arms hamstrings gluteus maximus buttocks calves chest abdomen lower back muscles,help reducing stiffness tensions accumulated,30
873,trikonasana,Helps with digestion: The pose can help to stimulate the digestive organs and aid in digestion.,It stimulates the digestive fire and removes constipation.,helps digestion pose help stimulate digestive organs aid digestion,stimulates digestive fire removes constipation,27
874,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.","Opens and stretches the chest cavity, Stretches the anterior spinal ligaments and abdominal contents 
Aligns upper body posture, especially rounded shoulders. Strengthens the upper body ",tones ovaries uterus helps menstrual gynaecological disorders,opens stretches chest cavity stretches anterior spinal ligaments abdominal contents aligns upper body posture especially rounded shoulders strengthens upper body,11
875,ardha kapotasana,Reproductive Systems improves with improved blood circulation,Activates and simulates the entire Endocrine System,reproductive systems improves improved blood circulation,activates simulates entire endocrine system,0
876,ushtrasana,"This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.","The chest cavity is enhanced, and this results in cardiovascular fitness.",asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,chest cavity enhanced results cardiovascular fitness,6
877,ananda madirasana,Helps in weight loss by improving metabolism.,Helps in maintaining good posture.,helps weight loss improving metabolism,helps maintaining good posture,2
878,sarvangasana,"Relieves stress and anxiety: The focus required in this pose, along with the deep breathing, can help to calm the mind and reduce stress and anxiety.",Stretches the entire spine Improves circulation of blood in the lower extremity Massages abdominal organs Stimulates the glandular systems,relieves stress anxiety focus required pose along deep breathing help calm mind reduce stress anxiety,stretches entire spine improves circulation blood lower extremity massages abdominal organs stimulates glandular systems,13
879,pavanamuktasana,It stabilizes the hips.,The toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture.,stabilizes hips,toning lower body strengthening lower back combined hip stability enhances body posture,20
880,sarvangasana,"Strengthens the upper body: Sarvangasana strengthens the shoulders, arms, and upper back, helping to improve overall upper body strength.","Circulation is increased in this area generally, revitalizing the ears, eyes and tonsils.",strengthens upper body sarvangasana strengthens shoulders arms upper back helping improve overall upper body strength,circulation increased area generally revitalizing ears eyes tonsils,13
881,rajakapotasana,"the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs.",cures imbalance in hormones thus regularising the thyroid,internal abdominal organs hence stimulated digestive juices secreted well giving room good digestion pancreas liver kidney massaged well thus improving functioning organs,cures imbalance hormones thus regularising thyroid,21
882,pavanamuktasana,It stabilizes the hips.,this works to tone the arms and shoulders.,stabilizes hips,works tone arms shoulders,20
883,prasarita padottanasana,"can help to stretch and lengthen the muscles in the inner thighs, hamstrings, and calves.","Improves digestion: Prasarita Padottanasana can help to stimulate the digestive system and alleviate digestive issues such as constipation, bloating, and gas",help stretch lengthen muscles inner thighs hamstrings calves,improves digestion prasarita padottanasana help stimulate digestive system alleviate digestive issues constipation bloating gas,5
884,gomukhasana,can help to stimulate the digestive system and relieve digestive issues such as bloating and constipation.,Relieves menstrual discomfort: Gomukhasana can help to relieve menstrual discomfort and regulate the menstrual cycle.,help stimulate digestive system relieve digestive issues bloating constipation,relieves menstrual discomfort gomukhasana help relieve menstrual discomfort regulate menstrual cycle,10
885,bhujangasana,This asana improves and deepens breathing. It can help to remove backache and keep the spine supple and healthy.,Enhances breath capacity,asana improves deepens breathing help remove backache keep spine supple healthy,enhances breath capacity,11
886,ashta chandrasana,Reduces the stiffness around the shoulders and neck,Tones the entire body with the deep stretch,reduces stiffness around shoulders neck,tones entire body deep stretch,38
887,sarvangasana,"By pressing the chest against the chin, this asana stimulates the thyroid gland.",Flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain are toned.,pressing chest chin asana stimulates thyroid gland,flexibility neck vertebrae improved nerves passing neck brain toned,13
888,virasana,helps in improving mental focus during pranayama and meditation.,Cures rheumatic pains in the knees,helps improving mental focus pranayama meditation,cures rheumatic pains knees,14
889,vajrasana,Helps in weight loss by improving metabolism.,Vajrasana alters the flow of blood and nervous impulses in the pelvic region and strengthens the pelvic muscles.,helps weight loss improving metabolism,vajrasana alters flow blood nervous impulses pelvic region strengthens pelvic muscles,12
890,sirshasana,"It also helps to rectify many forms of nervous and glandular disorders, especially those related to the reproductive system.",Reverses the effects of gravity on the body,also helps rectify many forms nervous glandular disorders especially related reproductive system,reverses effects gravity body,15
891,kati chakrasana,Reduces stress and anxiety,strengthens and improves the flexibility of the spine and waist.,reduces stress anxiety,strengthens improves flexibility spine waist,34
892,bhujangasana,Enhances breath capacity,"can stimulate the abdominal organs, including the kidneys and digestive system, which can be beneficial for overall health and wellbeing.",enhances breath capacity,stimulate abdominal organs including kidneys digestive system beneficial overall health wellbeing,11
893,padmasana,"Padmasana allows the body to be held completely steady for long periods of time. It holds the trunk and head like a pillar with the legs as the firm foundation. As the body is steadied, the mind becomes calm. This steadiness and calmness is the first step towards real meditation.","This pose brings in fresh blood to the sacral nerves that helps to clear up many physical, nervous and emotional problems.",padmasana allows body held completely steady long periods time holds trunk head like pillar legs firm foundation body steadied mind becomes calm steadiness calmness first step towards real meditation,pose brings fresh blood sacral nerves helps clear many physical nervous emotional problems,1
894,vajrasana,Improves blood circulation in the body.,The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.,improves blood circulation body,folding knees thighs stretches muscles improves blood circulation improves flexibility,12
895,vajrasana,Helps in reducing stress and anxiety.,Heals Body,helps reducing stress anxiety,heals body,12
896,makarasana,It gives deep relaxation to the shoulders and the spine.,"This asana is very effective for people suffering from slipped disc, sciatica, and certain types of lower back pain.",gives deep relaxation shoulders spine,asana effective people suffering slipped disc sciatica certain types lower back pain,47
897,supta trivikramasana,"Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.",The lower abdominal muscles and inner thigh muscles are stronger and improve digestion.,deeper stretch abdominal muscles along core muscles helps strengthen internal organs stimulating,lower abdominal muscles inner thigh muscles stronger improve digestion,39
898,bhujangasana,"Opens and stretches the chest cavity, Stretches the anterior spinal ligaments and abdominal contents 
Aligns upper body posture, especially rounded shoulders. Strengthens the upper body ","can help to stretch and open up the chest and lungs, which can be beneficial for those with respiratory issues",opens stretches chest cavity stretches anterior spinal ligaments abdominal contents aligns upper body posture especially rounded shoulders strengthens upper body,help stretch open chest lungs beneficial respiratory issues,11
899,prasarita padottanasana,helps the deoxygenated blood go through veins back to the heart. It reduces the effort by the venous system to pump blood back to the heart. This pose relaxes the heart by increasing the efficiency of the Arterio-Venous Arcade in the body.,"The breath is rhythmic and at its natural pace. The heart is relaxed with the increased venous capacity, and the back of the lungs expands due to the upper body stretch.",helps deoxygenated blood go veins back heart reduces effort venous system pump blood back heart pose relaxes heart increasing efficiency arteriovenous arcade body,breath rhythmic natural pace heart relaxed increased venous capacity back lungs expands due upper body stretch,5
